PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Justin Anderson,2016,71,176,22,83,44,55
Joe Young,2016,62,170,10,46,20,25
James Jones,2016,59,143,41,104,21,26
Kelly Oubre,2016,90,211,25,79,31,49
Orlando Johnson,2016,9,35,2,11,6,8
Caron Butler,2016,25,59,3,18,10,12
Kendall Marshall,2016,43,118,16,49,9,13
Shabazz Napier,2016,68,201,34,104,33,45
Andre Miller,2016,59,106,2,8,24,32
Cory Jefferson,2016,9,22,0,1,4,6
Noah Vonleh,2016,117,279,11,47,38,51
Axel Toupane,2016,25,70,13,40,13,17
Montrezl Harrell,2016,58,90,0,1,24,46
Christian Wood,2016,22,53,4,11,13,21
Ian Clark,2016,89,202,30,84,28,34
Josh McRoberts,2016,55,148,12,49,28,40
James Anderson,2016,67,178,23,86,22,29
Jordan Adams,2016,2,6,0,1,3,5
Kyle Singler,2016,86,221,30,97,29,44
Cristiano Felicio,2016,40,72,0,4,25,35
Phil Pressey,2016,30,77,4,17,13,25
Ray McCallum,2016,55,146,15,42,12,15
Mike Muscala,2016,76,152,12,39,31,39
Reggie Bullock,2016,43,98,22,53,14,15
Kevin Garnett,2016,54,115,0,1,14,21
Jason Thompson,2016,52,108,5,15,38,54
Luc Mbah a Moute,2016,94,207,13,40,30,57
Rashad Vaughn,2016,81,265,43,146,12,15
CJ Wilcox,2016,26,66,9,23,9,12
Johnny O'Bryant,2016,86,209,1,1,26,38
Kirk Hinrich,2016,49,129,24,62,15,16
Chris Johnson,2016,72,194,27,99,34,42
Tayshaun Prince,2016,102,229,4,23,13,19
James Michael McAdoo,2016,45,84,1,2,26,49
Josh Huestis,2016,5,12,4,6,0,4
Chris Kaman,2016,20,43,1,4,3,3
Andrew Goudelock,2016,9,20,1,9,3,4
Jared Cunningham,2016,36,105,12,39,36,55
Drew Gooden,2016,33,103,7,41,9,14
Rasual Butler,2016,49,105,15,49,11,16
RJ Hunter,2016,36,98,19,63,6,7
Justin Harper,2016,4,10,4,9,1,2
Anderson Varejao,2016,53,124,0,1,32,50
Kostas Papanikolaou,2016,24,66,10,32,9,14
Adreian Payne,2016,53,145,9,32,17,26
Matt Bonner,2016,29,58,15,35,3,4
Lorenzo Brown,2016,8,25,1,8,3,4
Sonny Weems,2016,42,111,15,42,8,15
Pablo Prigioni,2016,55,147,28,95,7,8
Sergey Karasev,2016,30,74,11,37,26,28
Jarell Eddie,2016,20,65,15,47,8,8
KJ McDaniels,2016,29,72,7,25,24,30
Steve Novak,2016,8,18,7,15,1,1
Lamar Patterson,2016,28,80,12,49,16,22
Jeremy Evans,2016,26,48,4,16,15,21
Tyler Hansbrough,2016,32,71,2,3,38,65
Damjan Rudez,2016,25,62,17,50,8,8
Lucas Nogueira,2016,28,44,1,3,8,15
Devyn Marble,2016,21,71,8,32,10,24
DeJuan Blair,2016,28,68,0,1,5,13
Nick Collison,2016,50,109,0,2,23,33
Chris Copeland,2016,17,51,10,36,6,7
Tibor Pleiss,2016,11,25,0,2,2,2
Cameron Bairstow,2016,13,40,1,5,7,8
Terry Rozier,2016,29,106,6,27,8,10
Jorge Gutierrez,2016,6,11,0,2,10,11
Cleanthony Early,2016,12,40,4,15,3,4
Damien Inglis,2016,13,37,3,13,7,8
Elijah Millsap,2016,11,39,1,12,13,18
Jeff Ayres,2016,12,23,0,1,6,6
Elliot Williams,2016,2,10,1,4,3,4
Shayne Whittington,2016,5,11,0,2,1,2
Udonis Haslem,2016,23,61,1,9,11,14
Russ Smith,2016,7,22,1,5,8,13
Jimmer Fredette,2016,2,5,1,2,4,5
Anthony Bennett,2016,8,26,3,14,9,10
Erick Green,2016,5,13,1,5,2,2
Mitch McGary,2016,11,23,0,4,4,10
Keith Appling,2016,2,8,0,3,2,2
Luis Montero,2016,5,19,1,9,3,4
Pat Connaughton,2016,13,49,5,21,5,5
James Young,2016,11,36,6,26,1,4
Aaron Harrison,2016,5,19,3,10,5,12
Russell Westbrook,2015,627,1471,86,288,546,654
James Harden,2015,647,1470,208,555,715,824
Kevin Durant,2015,238,467,64,159,146,171
LeBron James,2015,624,1280,120,340,375,528
Anthony Davis,2015,642,1199,1,12,371,461
Carmelo Anthony,2015,358,806,61,179,189,237
DeMarcus Cousins,2015,498,1066,2,8,423,541
Stephen Curry,2015,653,1341,286,646,308,337
LaMarcus Aldridge,2015,659,1415,37,105,306,362
Kobe Bryant,2015,266,713,54,184,196,241
Blake Griffin,2015,574,1144,10,25,311,427
Kyrie Irving,2015,578,1235,157,378,315,365
Klay Thompson,2015,602,1299,239,545,225,256
Dwyane Wade,2015,505,1074,29,102,280,366
Chris Bosh,2015,343,745,63,168,179,232
Rudy Gay,2015,508,1116,79,220,337,393
Damian Lillard,2015,590,1360,196,572,344,398
DeMar DeRozan,2015,409,990,25,88,361,434
Jimmy Butler,2015,421,912,73,193,386,463
Kevin Martin,2015,267,626,75,192,170,193
Nikola Vucevic,2015,631,1206,2,6,164,218
Gordon Hayward,2015,484,1085,120,330,375,462
Chris Paul,2015,568,1171,139,350,289,321
Monta Ellis,2015,602,1354,81,284,228,303
Pau Gasol,2015,570,1154,12,26,294,366
Victor Oladipo,2015,473,1086,84,248,262,320
Kyle Lowry,2015,430,1043,132,391,252,312
Derrick Rose,2015,338,835,76,271,152,187
John Wall,2015,518,1165,65,217,284,362
Marc Gasol,2015,530,1072,3,17,350,440
Kemba Walker,2015,378,981,85,280,234,283
Dirk Nowitzki,2015,487,1062,104,274,255,289
Brook Lopez,2015,506,987,1,10,223,274
Tobias Harris,2015,442,949,87,239,193,245
Eric Bledsoe,2015,468,1047,88,272,353,441
Brandon Knight,2015,375,888,125,321,195,223
Andrew Wiggins,2015,497,1138,39,126,354,466
Tony Wroten,2015,173,431,37,142,119,178
Paul Millsap,2015,443,930,77,216,255,337
Tyreke Evans,2015,521,1165,69,227,202,291
Al Jefferson,2015,485,1009,2,5,108,165
Kawhi Leonard,2015,394,822,67,192,202,252
Isaiah Thomas,2015,335,797,129,346,302,348
JJ Redick,2015,447,938,200,458,183,203
Kevin Love,2015,413,952,144,392,258,321
Goran Dragic,2015,502,1002,90,259,181,234
Darren Collison,2015,260,550,60,161,145,184
Zach Randolph,2015,454,932,7,20,228,298
George Hill,2015,255,535,69,193,113,143
Derrick Favors,2015,479,913,1,6,221,331
Wesley Matthews,2015,337,753,173,446,109,145
Jeff Teague,2015,408,887,71,207,275,319
Mike Conley,2015,393,882,107,277,214,249
Jamal Crawford,2015,332,839,119,364,227,252
Dwight Howard,2015,251,423,1,2,143,271
Chandler Parsons,2015,383,829,132,347,139,193
Louis Williams,2015,375,928,152,447,340,395
Enes Kanter,2015,481,926,16,45,183,234
Brandon Jennings,2015,218,543,76,211,120,143
Markieff Morris,2015,512,1100,57,179,177,232
Bradley Beal,2015,364,852,106,259,130,166
Ty Lawson,2015,404,926,70,205,265,363
Al Horford,2015,519,965,11,36,107,141
Jeff Green,2015,416,967,97,292,239,287
Andrea Bargnani,2015,161,353,15,40,82,101
Jrue Holiday,2015,238,534,51,135,65,76
Michael Carter-Williams,2015,364,916,36,152,200,289
Reggie Jackson,2015,432,996,72,241,181,218
Joe Johnson,2015,446,1025,121,337,141,176
Tony Parker,2015,404,832,38,89,130,166
Serge Ibaka,2015,374,786,77,205,92,110
Mo Williams,2015,341,860,119,348,163,187
Thaddeus Young,2015,451,967,38,115,131,200
Luol Deng,2015,366,779,78,220,184,243
Wilson Chandler,2015,418,975,139,406,110,142
Avery Bradley,2015,434,1012,124,352,79,100
Tim Duncan,2015,419,819,2,7,230,311
Alec Burks,2015,121,300,26,68,106,129
Andre Drummond,2015,494,962,0,2,142,365
Ryan Anderson,2015,291,729,122,359,129,151
Shabazz Muhammad,2015,194,397,20,51,104,145
CJ Miles,2015,329,827,154,446,130,161
Eric Gordon,2015,285,693,141,315,107,133
Robert Covington,2015,298,753,167,444,176,215
Nick Young,2015,174,476,83,225,132,148
Khris Middleton,2015,406,869,109,268,134,156
Jared Sullinger,2015,311,707,52,184,96,129
Arron Afflalo,2015,375,884,118,333,167,198
Deron Williams,2015,299,772,87,237,201,241
Trevor Ariza,2015,366,910,194,555,122,143
Giannis Antetokounmpo,2015,383,780,7,44,257,347
Kentavious Caldwell-Pope,2015,390,972,153,444,110,158
Trey Burke,2015,368,999,123,388,106,142
Rodney Stuckey,2015,332,754,55,141,177,216
Kenneth Faried,2015,373,736,1,8,199,288
DeMarre Carroll,2015,318,653,120,304,127,181
Danilo Gallinari,2015,228,568,107,301,171,191
Josh Smith,2015,414,987,72,228,127,255
Jabari Parker,2015,129,263,4,16,46,66
Marcin Gortat,2015,439,775,0,3,123,175
Kyle Korver,2015,292,600,221,449,106,118
Ben McLemore,2015,363,831,140,391,130,160
Gerald Henderson,2015,370,847,45,136,184,217
J.R. Smith,2015,315,755,163,426,54,72
Jonas Valanciunas,2015,373,652,0,1,217,276
Donatas Motiejunas,2015,353,699,49,132,100,166
Evan Fournier,2015,253,575,85,225,107,147
Jordan Hill,2015,357,777,3,11,124,168
Jarrett Jack,2015,359,817,39,146,200,227
Jabari Brown,2015,70,170,23,62,64,85
Gerald Green,2015,324,778,137,387,99,120
Jordan Clarkson,2015,267,595,38,121,131,158
Paul Pierce,2015,293,656,118,303,164,210
Dion Waiters,2015,375,946,73,246,117,172
Terrence Jones,2015,158,299,13,37,57,94
Langston Galloway,2015,197,497,59,171,61,74
Danny Green,2015,322,738,191,457,111,127
Draymond Green,2015,339,765,111,329,132,200
David West,2015,323,686,4,20,119,161
Aaron Brooks,2015,344,817,121,313,145,174
DeAndre Jordan,2015,379,534,1,4,187,471
Amar'e Stoudemire,2015,273,490,0,4,134,186
Ersan Ilyasova,2015,263,557,74,190,69,107
Corey Brewer,2015,343,806,63,235,168,226
Tim Hardaway Jr.,2015,273,708,118,349,123,154
O.J. Mayo,2015,296,700,99,276,115,139
Jeremy Lin,2015,277,655,65,176,213,268
