Season,Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,TPM,TPA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Blake Griffin,PF,26,LAC,35,35,1170,301,603,6,18,141,194,51,243,170,28,17,83,95,749
2016,Jorge Gutierrez,PG,27,CHO,12,0,63,6,11,0,2,10,11,0,7,17,3,0,6,3,22
2016,P.J. Hairston,SF,23,TOT,66,52,1313,145,408,70,241,50,64,25,149,38,32,11,41,137,410
2016,P.J. Hairston,SF,23,CHO,48,43,938,99,276,54,172,34,42,18,110,29,24,7,24,106,286
2016,P.J. Hairston,SF,23,MEM,18,9,375,46,132,16,69,16,22,7,39,9,8,4,17,31,124
2016,Jordan Hamilton,SF,25,NOP,11,4,304,49,116,13,45,14,21,12,50,25,8,3,17,24,125
2016,Tyler Hansbrough,PF,30,CHO,44,0,343,32,71,2,3,38,65,40,49,8,12,7,12,55,104
2016,Tim Hardaway,SG,23,ATL,51,1,864,114,265,48,142,50,56,7,79,51,21,7,23,48,326
2016,James Harden,SG,26,HOU,82,82,3125,710,1617,236,657,720,837,63,438,612,139,51,374,229,2376
2016,Maurice Harkless,SF,22,POR,78,14,1457,195,411,39,140,69,111,101,179,67,49,35,62,124,498
2016,Justin Harper,PF,26,DET,5,0,35,4,10,4,9,1,2,0,1,0,1,0,2,3,13
2016,Montrezl Harrell,PF,22,HOU,39,1,379,58,90,0,1,24,46,25,40,17,11,11,17,48,140
2016,Devin Harris,PG,32,DAL,64,0,1280,167,374,52,158,101,140,18,120,118,60,13,66,124,487
2016,Gary Harris,SG,21,DEN,76,76,2439,359,765,105,297,109,133,54,166,147,97,18,98,143,932
2016,Joe Harris,SG,24,CLE,5,0,15,1,4,1,4,0,0,0,3,2,0,0,1,1,3
2016,Tobias Harris,PF,23,TOT,76,74,2513,417,889,80,239,202,243,96,414,169,65,40,108,153,1116
2016,Tobias Harris,PF,23,ORL,49,49,1610,251,541,47,151,120,153,71,271,99,47,28,78,91,669
2016,Tobias Harris,PF,23,DET,27,25,903,166,348,33,88,82,90,25,143,70,18,12,30,62,447
2016,Aaron Harrison,SG,21,CHO,21,0,93,5,19,3,10,5,12,4,11,2,6,0,4,10,18
2016,Udonis Haslem,PF,35,MIA,37,0,260,23,61,1,9,12,16,10,65,14,5,2,5,25,59
2016,Spencer Hawes,PF,27,CHO,57,6,1035,124,306,38,102,54,65,51,193,109,22,27,58,111,340
2016,Chuck Hayes,C,32,HOU,2,0,24,1,2,0,0,2,2,0,8,2,0,0,3,6,4
2016,Gordon Hayward,SF,25,UTA,80,80,2893,521,1202,143,410,393,477,61,336,296,95,27,202,183,1578
2016,Gerald Henderson,SG,28,POR,72,0,1431,232,529,48,136,112,146,30,181,75,39,19,68,87,624
2016,John Henson,C,25,MIL,57,1,960,164,291,0,1,69,117,87,134,54,18,109,64,131,397
2016,Mario Hezonja,SF,20,ORL,79,9,1413,181,418,67,192,49,54,28,148,109,39,17,97,124,478
2016,Roy Hibbert,C,29,LAL,81,81,1878,182,411,0,2,117,145,132,266,95,32,110,76,252,481
2016,J.J. Hickson,C,27,TOT,35,9,436,80,155,0,1,46,103,39,93,23,15,14,25,47,206
2016,J.J. Hickson,C,27,DEN,20,9,305,55,109,0,0,27,59,22,65,16,10,12,16,35,137
2016,J.J. Hickson,C,27,WAS,15,0,131,25,46,0,1,19,44,17,28,7,5,2,9,12,69
2016,Nene Hilario,PF,33,WAS,57,11,1094,209,384,0,3,107,185,52,207,97,54,26,76,156,525
2016,George Hill,PG,29,IND,74,73,2524,326,739,128,314,114,150,58,240,259,83,17,101,149,894
2016,Jordan Hill,C,28,IND,73,11,1513,278,549,0,1,89,125,156,295,87,36,37,92,155,645
2016,Solomon Hill,SF,24,IND,59,3,866,93,208,24,74,36,42,39,127,57,37,11,33,68,246
2016,Darrun Hilliard,SG,22,DET,38,2,383,52,131,19,50,29,40,5,40,27,9,1,19,28,152
2016,Kirk Hinrich,PG,35,TOT,46,7,631,49,129,24,62,15,16,8,62,73,15,2,30,64,137
2016,Kirk Hinrich,PG,35,CHI,35,7,555,47,118,23,56,15,16,7,51,59,13,1,27,63,132
2016,Kirk Hinrich,PG,35,ATL,11,0,76,2,11,1,6,0,0,1,11,14,2,1,3,1,5
2016,Jrue Holiday,PG,25,NOP,65,23,1831,410,935,87,259,182,216,27,168,391,88,22,167,148,1089
2016,Justin Holiday,SG,26,TOT,53,5,773,88,228,36,105,27,37,12,78,56,32,19,39,61,239
2016,Justin Holiday,SG,26,ATL,26,1,263,24,73,10,45,5,10,4,23,11,13,4,13,21,63
2016,Justin Holiday,SG,26,CHI,27,4,510,64,155,26,60,22,27,8,55,45,19,15,26,40,176
2016,Ryan Hollins,C,31,TOT,37,12,460,49,79,0,0,26,42,47,51,10,6,21,24,62,124
2016,Ryan Hollins,C,31,WAS,5,3,48,4,7,0,0,0,0,7,4,0,0,1,3,4,8
2016,Ryan Hollins,C,31,MEM,32,9,412,45,72,0,0,26,42,40,47,10,6,20,21,58,116
2016,Rondae Hollis-Jefferson,SF,21,BRK,29,17,615,63,138,4,14,37,52,39,115,43,39,16,26,61,167
2016,Richaun Holmes,PF,22,PHI,51,1,702,114,222,8,44,51,74,62,73,33,19,40,32,92,287
