Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,9,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,1,3,8,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,2,3.1,8,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,6,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,6,GEAR Dennis,NZL
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,5.5,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,4.5,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,5.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,5.5,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,3,3,5,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,6.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,6.5,GEAR Dennis,NZL
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,6.5,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,5.5,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,6,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,5.5,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,4,3.5,6.5,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,7.5,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,5,2.9,8.5,CRUZ Julia,ESP
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8,BOYS Beverley,CAN
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8,JOHNSON Bente,NOR
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8,BOUSSARD Michel,FRA
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8,CALDERON Felix,PUR
M3mSB,3 - Final,DUMAIS Troy,USA,6,6,3.4,8.5,CRUZ Julia,ESP
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,JOHNSON Bente,NOR
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7,BOUSSARD Michel,FRA
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,CALDERON Felix,PUR
M3mSB,3 - Final,RUIZ Mark,USA,7,1,3.1,7.5,CRUZ Julia,ESP
M3mSB,3 - Final,RUIZ Mark,USA,7,2,3,7,RUIZ-PEDREGUERA Rolando,CUB
