"Team","Year","GameMinute","Kicker","Distance","ScoreDiff","Grass","Success"
"DEN",2015,24,"McManus",47,10,TRUE,1
"DEN",2015,30,"McManus",24,1,TRUE,1
"DET",2015,6,"Prater",35,0,TRUE,1
"SD",2015,7,"Lambo",40,-7,FALSE,1
"SEA",2015,30,"Hauschka",26,-16,FALSE,1
"TEN",2015,40,"Succop",44,-7,TRUE,1
"PIT",2015,60,"Boswell",35,-1,FALSE,1
"MIN",2015,56,"Walsh",45,3,FALSE,1
"CHI",2015,29,"Gould",40,-14,TRUE,1
"TEN",2015,51,"Succop",41,3,TRUE,1
"PHI",2015,48,"Sturgis",50,-5,TRUE,0
"TB",2015,26,"Brindza",52,3,FALSE,0
"NYJ",2015,29,"Folk",35,7,FALSE,1
"CIN",2015,27,"Nugent",40,17,TRUE,1
"GB",2015,20,"Crosby",40,0,FALSE,1
"PIT",2015,23,"Boswell",47,10,FALSE,1
"CLE",2015,60,"Coons",51,0,TRUE,0
"OAK",2015,4,"Janikowski",23,7,TRUE,1
"STL",2015,63,"Zuerlein",37,0,FALSE,1
"PIT",2015,14,"Boswell",24,-3,TRUE,1
"KC",2015,36,"Santos",35,0,TRUE,1
"CLE",2015,29,"Coons",24,-10,TRUE,1
"GB",2015,18,"Crosby",41,-17,FALSE,0
"NO",2015,30,"Hocker",51,7,FALSE,0
"SEA",2015,12,"Hauschka",54,-10,FALSE,1
"PHI",2015,56,"Sturgis",41,19,TRUE,1
"BAL",2015,60,"Tucker",47,0,FALSE,1
"SF",2015,25,"Dawson",45,-3,FALSE,0
"BUF",2015,57,"Carpenter",42,2,FALSE,1
"CAR",2015,44,"Gano",47,1,TRUE,1
"ARI",2015,11,"Catanzaro",26,0,TRUE,1
"NE",2015,60,"Gostkowski",54,-2,FALSE,1
"KC",2015,24,"Santos",48,11,TRUE,1
"TB",2015,10,"Barth",22,7,TRUE,1
"PIT",2015,60,"Boswell",47,-10,TRUE,1
"ARI",2015,18,"Catanzaro",33,0,FALSE,1
"MIN",2015,14,"Walsh",24,0,FALSE,1
"TB",2015,25,"Barth",30,-3,FALSE,1
"DAL",2015,51,"Bailey",30,7,TRUE,1
"CIN",2015,41,"Nugent",28,4,FALSE,1
"WAS",2015,30,"Hopkins",23,10,TRUE,1
"DAL",2015,25,"Bailey",22,-3,FALSE,1
"DEN",2015,38,"McManus",47,-7,TRUE,0
"DAL",2015,42,"Bailey",34,-3,TRUE,1
"ARI",2015,25,"Catanzaro",19,7,TRUE,1
"IND",2015,18,"Vinatieri",27,0,FALSE,1
"BAL",2015,59,"Tucker",51,0,FALSE,0
"OAK",2015,7,"Janikowski",23,0,TRUE,1
"IND",2015,71,"Vinatieri",27,0,FALSE,1
"PIT",2015,53,"Boswell",21,13,TRUE,1
"MIN",2015,30,"Walsh",44,-3,TRUE,1
"HOU",2015,39,"Novak",34,15,TRUE,1
"KC",2015,18,"Santos",40,-11,FALSE,1
"OAK",2015,40,"Janikowski",52,15,TRUE,1
"TB",2015,14,"Barth",39,0,TRUE,1
"ARI",2015,30,"Catanzaro",22,21,TRUE,1
"SEA",2015,41,"Hauschka",52,27,TRUE,1
"PIT",2015,11,"Boswell",34,0,TRUE,1
"SF",2015,36,"Dawson",27,-13,FALSE,1
"STL",2015,28,"Zuerlein",32,-7,TRUE,1
"WAS",2015,60,"Hopkins",52,-3,FALSE,1
"PIT",2015,20,"Boswell",43,1,TRUE,1
"ATL",2015,23,"Bryant",42,-7,FALSE,1
"PIT",2015,40,"Boswell",25,4,FALSE,1
"CIN",2015,59,"Nugent",44,3,TRUE,1
"SEA",2015,52,"Hauschka",46,-2,FALSE,1
"NE",2015,18,"Gostkowski",43,4,TRUE,1
"BAL",2015,47,"Tucker",37,-10,TRUE,1
"SD",2015,12,"Lambo",48,-7,TRUE,0
"STL",2015,29,"Zuerlein",42,-7,FALSE,1
"WAS",2015,29,"Hopkins",37,-12,FALSE,1
"KC",2015,7,"Santos",30,0,TRUE,1
"NO",2015,44,"Hocker",29,-3,FALSE,1
"NYG",2015,23,"Brown",36,9,FALSE,1
"BUF",2015,40,"Carpenter",37,6,FALSE,1
"SEA",2015,59,"Hauschka",36,-10,TRUE,1
"BAL",2015,14,"Tucker",50,-7,FALSE,0
"CIN",2015,50,"Nugent",27,-16,FALSE,1
"SD",2015,20,"Lambo",46,-3,TRUE,1
"BAL",2015,30,"Tucker",49,-1,FALSE,1
"CHI",2015,52,"Gould",36,14,FALSE,1
"CHI",2015,48,"Gould",21,1,FALSE,1
"DEN",2015,50,"McManus",49,-3,TRUE,0
"CHI",2015,40,"Gould",38,-8,FALSE,1
"MIA",2015,55,"Franks",20,-9,TRUE,1
"GB",2015,14,"Crosby",47,-3,FALSE,1
"MIN",2015,46,"Walsh",22,8,FALSE,1
"SEA",2015,30,"Hauschka",27,7,FALSE,1
"NYJ",2015,8,"Folk",40,0,TRUE,1
"STL",2015,7,"Zuerlein",33,0,TRUE,1
"HOU",2015,26,"Novak",56,-10,FALSE,0
"MIN",2015,55,"Walsh",33,-3,TRUE,1
"PIT",2015,36,"Boswell",39,5,TRUE,1
"KC",2015,41,"Santos",40,-9,FALSE,1
"MIN",2015,37,"Walsh",45,10,FALSE,1
"TB",2015,2,"Barth",25,0,TRUE,1
"NO",2015,60,"Forbath",30,0,FALSE,1
"PHI",2015,30,"Sturgis",29,-11,TRUE,1
"JAC",2015,41,"Myers",39,-4,FALSE,1
